cdu_id,geo_code,ns-sec_total_persons,ns-sec_1,ns-sec_2,ns-sec_3,ns-sec_4,ns-sec_5,ns-sec_6,ns-sec_7,ns-sec_8,ns-sec_15,ns-sec_1_perc,ns-sec_2_perc,ns-sec_3_perc,ns-sec_4_perc,ns-sec_5_perc,ns-sec_6_perc,ns-sec_7_perc,ns-sec_8_perc,ns-sec_15_perc,biggest_ns_sec
52,95AA     ,52540,5062,11824,6366,7746,4964,6740,7619,1909,310,0.096345641,0.225047583,0.121164827,0.147430529,0.094480396,0.128283213,0.145013323,0.036334222,0.005900266,ns_sec_2_perc
53,95BB     ,77483,7465,16862,10096,12440,7005,10639,10038,2518,420,0.096343714,0.21762193,0.13029955,0.160551347,0.090406928,0.137307538,0.129550998,0.032497451,0.005420544,ns_sec_2_perc
54,95CC     ,58638,4465,11126,5739,12347,4756,7297,9403,3122,383,0.076145162,0.189740441,0.097871687,0.210563116,0.081107814,0.124441488,0.160356765,0.053241925,0.006531601,ns_sec_4_perc
55,95DD     ,63403,6120,12352,5684,10376,6238,10410,9266,2624,333,0.096525401,0.19481728,0.089648755,0.163651562,0.098386512,0.164187814,0.146144504,0.041386054,0.005252117,ns_sec_2_perc
56,95EE     ,31054,2104,4899,2764,6945,2655,4661,5205,1645,176,0.067752946,0.157757455,0.089006247,0.223642687,0.085496232,0.150093386,0.167611258,0.052972242,0.005667547,ns_sec_4_perc
57,95FF     ,48045,4994,9969,5197,9197,3993,5888,6722,1792,293,0.103944219,0.207492975,0.108169424,0.191424706,0.083109585,0.122551774,0.139910501,0.037298366,0.006098449,ns_sec_2_perc
58,95GG     ,276141,32156,52971,32740,17611,20453,43809,43470,23523,9408,0.116447757,0.191825915,0.118562618,0.06377539,0.074067234,0.158647213,0.157419579,0.085184743,0.034069551,ns_sec_2_perc
59,95HH     ,38785,4350,8831,5578,3621,3956,5581,5151,1455,262,0.112156762,0.227691118,0.143818487,0.093360835,0.101998195,0.143895836,0.132809076,0.037514503,0.006755189,ns_sec_2_perc
60,95II     ,66502,10680,17374,9539,6130,5442,8368,6813,1772,384,0.160596674,0.261255301,0.143439295,0.092177679,0.081832125,0.125830802,0.102448047,0.026645815,0.005774262,ns_sec_2_perc
61,95JJ     ,57761,5751,11438,6387,8959,4646,8124,7891,3093,1472,0.099565451,0.198022887,0.11057634,0.155104655,0.080434896,0.140648534,0.136614671,0.053548242,0.025484323,ns_sec_2_perc
62,95KK     ,36711,2262,5545,2705,8640,3234,4842,6945,2321,217,0.061616409,0.151044646,0.073683637,0.235351802,0.088093487,0.131895072,0.189180355,0.063223557,0.005911035,ns_sec_4_perc
63,95LL     ,92513,7977,17412,9899,11172,9105,15652,15844,4761,691,0.08622572,0.188211387,0.107001178,0.120761407,0.098418601,0.169187033,0.171262417,0.051463038,0.007469221,ns_sec_2_perc
64,95MM     ,106500,8460,20804,11104,11899,8656,16341,16798,10928,1510,0.07943662,0.195342723,0.104262911,0.1117277,0.081276995,0.15343662,0.1577277,0.102610329,0.014178404,ns_sec_2_perc
65,95NN     ,68714,6591,15437,7097,13503,5083,8515,8563,3487,438,0.095919318,0.22465582,0.103283174,0.196510173,0.073973281,0.123919434,0.124617982,0.050746573,0.006374247,ns_sec_2_perc
66,95OO     ,57462,4282,9420,4255,11934,4451,8408,10529,3705,478,0.074518812,0.163934426,0.074048937,0.207685079,0.077459887,0.146322787,0.183234137,0.064477394,0.008318541,ns_sec_4_perc
67,95PP     ,61064,4243,10247,5404,13158,5206,9207,9387,3839,373,0.069484475,0.167807546,0.088497314,0.215478842,0.085254815,0.150776235,0.153723962,0.062868466,0.006108345,ns_sec_4_perc
68,95QQ     ,31914,2704,6258,3771,4425,3791,4825,4695,1285,160,0.084727706,0.196089491,0.118161309,0.138653882,0.118787993,0.151187567,0.147114119,0.040264461,0.005013474,ns_sec_2_perc
69,95RR     ,32850,2079,5414,3566,6154,2628,4360,5543,2822,284,0.063287671,0.164809741,0.108554033,0.187336377,0.08,0.132724505,0.168736682,0.085905632,0.008645358,ns_sec_4_perc
70,95SS     ,118525,15147,27158,15146,14778,9503,15616,14441,5819,917,0.127795824,0.229133094,0.127787387,0.124682556,0.080177178,0.131752795,0.121839274,0.049095128,0.007736764,ns_sec_2_perc
71,95TT     ,44822,3649,7577,3177,10736,3839,5082,8257,2267,238,0.081410914,0.16904645,0.070880371,0.239525233,0.085649904,0.113381821,0.184217572,0.050577841,0.005309892,ns_sec_4_perc
72,95UU     ,16907,1250,3014,1283,4014,1287,2268,2439,1259,93,0.073933874,0.178269356,0.075885728,0.237416455,0.076122316,0.13414562,0.144259774,0.074466197,0.00550068,ns_sec_4_perc
73,95VV     ,98922,7547,17593,7509,20550,7797,12434,17002,7745,745,0.076292432,0.177847193,0.075908291,0.207739431,0.078819676,0.125694992,0.171872789,0.078294009,0.007531186,ns_sec_4_perc
74,95WW     ,83141,9760,18839,11650,8048,8187,11889,11247,2939,582,0.117390938,0.226590972,0.140123405,0.096799413,0.098471272,0.142998039,0.135276218,0.035349587,0.007000156,ns_sec_2_perc
75,95XX     ,77475,12002,21578,11380,8187,5991,9269,6421,2244,403,0.154914489,0.27851565,0.146886092,0.105672798,0.07732817,0.119638593,0.082878348,0.028964182,0.005201678,ns_sec_2_perc
76,95YY     ,50872,3746,9241,4202,11626,3718,6165,8055,3871,248,0.073635792,0.181651989,0.082599465,0.228534361,0.073085391,0.121186507,0.158338575,0.076092939,0.00487498,ns_sec_4_perc
77,95ZZ     ,39595,1973,5942,3078,7788,3027,5642,7741,4097,307,0.049829524,0.150069453,0.077737088,0.196691501,0.076449047,0.142492739,0.195504483,0.103472661,0.007753504,ns_sec_4_perc
78,E06000001,91091,6745,16976,8883,8072,10740,15124,16519,7204,828,0.074046832,0.186363087,0.097517867,0.088614682,0.117904074,0.16603177,0.181346126,0.079085749,0.009089811,ns_sec_2_perc
79,E06000002,136156,9579,23095,13272,11831,13913,23563,24059,12071,4762,0.070353124,0.169621611,0.097476424,0.086892976,0.102184259,0.173058844,0.176701724,0.08865566,0.034974588,ns_sec_7_perc
80,E06000003,133929,10657,26258,13067,11587,18527,21767,22610,8371,1085,0.079572012,0.196059106,0.097566621,0.08651599,0.138334491,0.162526413,0.168820793,0.062503267,0.008101307,ns_sec_2_perc
81,E06000004,187959,20569,41586,20625,16689,21165,27577,27564,9875,2295,0.10943344,0.221250379,0.109731378,0.088790641,0.112604345,0.146718167,0.146649003,0.052538054,0.01221011,ns_sec_2_perc
82,E06000005,104111,11588,22977,12438,10428,10073,15716,14992,4937,944,0.111304281,0.220697141,0.119468644,0.100162327,0.096752505,0.15095427,0.144000154,0.047420542,0.009067246,ns_sec_2_perc
83,E06000006,124874,10875,23394,14526,10997,15383,20986,21168,6344,1201,0.087087784,0.18734084,0.116325256,0.088064769,0.123188174,0.168057402,0.169514871,0.05080321,0.009617695,ns_sec_2_perc
84,E06000007,198828,32229,48171,23365,19424,18561,24542,25357,5399,1767,0.162094876,0.24227473,0.11751363,0.097692478,0.093352043,0.123433319,0.12753234,0.027154123,0.008887078,ns_sec_2_perc
85,E06000008,145827,13121,24688,14853,19191,13953,24432,24539,8940,2088,0.089976479,0.169296495,0.101853566,0.131601144,0.09568187,0.16754099,0.168274737,0.06130552,0.014318336,ns_sec_2_perc
86,E06000009,137960,8899,24892,16797,19727,13869,23360,20515,7844,2054,0.064504204,0.18042911,0.121752682,0.142990722,0.100529139,0.169324442,0.148702522,0.05685706,0.014888373,ns_sec_2_perc
87,E06000010,252748,13825,38628,22556,20608,28880,45628,52717,20093,9789,0.054698751,0.15283207,0.08924304,0.081535759,0.11426401,0.18052764,0.20857534,0.079498156,0.038730277,ns_sec_7_perc
88,E06000011,326951,43864,79913,32511,47574,32869,40233,39828,8102,2046,0.134160776,0.244418888,0.099436919,0.145508042,0.100531884,0.123055137,0.121816419,0.024780472,0.006257818,ns_sec_2_perc
89,E06000012,157786,10936,28589,13054,16010,22068,28083,28376,8949,1710,0.069309064,0.181188445,0.082732308,0.101466543,0.139860317,0.17798157,0.179838515,0.056716058,0.010837463,ns_sec_2_perc
90,E06000013,165871,15574,31955,13633,17715,22484,25113,31216,6831,1350,0.093892242,0.19264971,0.082190377,0.106799863,0.135551121,0.151400787,0.18819444,0.041182606,0.008138855,ns_sec_2_perc
91,E06000014,190392,30564,45662,19540,20038,16462,24143,19794,3905,10270,0.160531955,0.239831506,0.102630363,0.105246019,0.086463717,0.126806799,0.103964452,0.020510316,0.053941342,ns_sec_2_perc
92,E06000015,244625,29018,47896,24162,23994,26905,37538,36000,12714,6375,0.118622381,0.195793562,0.098771589,0.098084824,0.10998467,0.153451201,0.147164027,0.051973429,0.026060296,ns_sec_2_perc
93,E06000016,321527,25047,46477,29790,31473,26528,57088,62943,23132,19012,0.077900145,0.144550846,0.092651628,0.097886025,0.08250629,0.177552741,0.19576272,0.071944191,0.059130337,ns_sec_7_perc
94,E06000017,34252,6745,10055,2911,5017,2709,3273,2885,535,122,0.196922807,0.2935595,0.084987738,0.146473199,0.079090272,0.095556464,0.084228658,0.015619526,0.003561836,ns_sec_2_perc
95,E06000018,289738,24254,45708,27025,26712,24540,44337,48731,20977,27401,0.083710111,0.157756318,0.093273923,0.092193637,0.084697209,0.153024457,0.168189882,0.072399892,0.094571647,ns_sec_7_perc
96,E06000019,180595,23362,41592,15326,34427,14993,25177,19910,4640,1162,0.129361278,0.230305379,0.084863922,0.19063097,0.083020017,0.13941139,0.110246685,0.025692849,0.006434287,ns_sec_2_perc
97,E06000020,164440,18713,34068,16497,16398,17732,25744,25982,7350,1955,0.113798346,0.20717587,0.100322306,0.099720263,0.107832644,0.156555583,0.158002919,0.044697154,0.011888835,ns_sec_2_perc
98,E06000021,246075,15602,37630,23201,26295,26022,42576,55231,13609,5904,0.063403434,0.152920857,0.094284263,0.106857665,0.105748247,0.173020421,0.224447831,0.055304277,0.023992685,ns_sec_7_perc
99,E06000022,169977,30082,42618,15895,22259,12637,18316,15619,3466,9078,0.176976885,0.25072804,0.093512652,0.130953011,0.074345353,0.107755755,0.091888903,0.020390994,0.053407226,ns_sec_2_perc
100,E06000023,418814,62582,90252,42687,40835,32584,55413,52023,19568,22846,0.149426714,0.215494229,0.101923527,0.097501516,0.077800647,0.132309331,0.124215045,0.046722411,0.054549275,ns_sec_2_perc
101,E06000024,199225,33198,51153,21660,26630,17056,24526,19109,4270,1620,0.166635713,0.256759945,0.108721295,0.133667963,0.085611746,0.12310704,0.095916677,0.021433053,0.00813151,ns_sec_2_perc
102,E06000025,258207,44282,62715,30883,30951,24838,30105,27572,4340,2518,0.171498062,0.242886521,0.119605588,0.119868942,0.096194139,0.116592501,0.106782543,0.01680822,0.009751866,ns_sec_2_perc
103,E06000026,251100,23973,53000,28696,25237,25295,36610,36509,9392,12361,0.095471924,0.211071286,0.114281163,0.100505775,0.100736758,0.145798487,0.145396256,0.037403425,0.049227399,ns_sec_2_perc
104,E06000027,127908,11280,27739,13616,22163,11649,19229,16912,4320,992,0.088188385,0.216866811,0.106451512,0.173272977,0.091073271,0.150334616,0.132220033,0.033774275,0.007755574,ns_sec_2_perc
105,E06000028,179138,21531,41389,19325,25199,14710,23793,17613,5057,10512,0.120192254,0.231045339,0.107877726,0.140668088,0.082115464,0.132819391,0.098320848,0.028229633,0.058681017,ns_sec_2_perc
106,E06000029,145103,20574,35064,15935,20349,13682,18763,16235,3225,1268,0.141788936,0.241649036,0.109818543,0.140238313,0.094291641,0.129308147,0.11188604,0.022225591,0.00873862,ns_sec_2_perc
107,E06000030,207858,28743,45994,23213,20656,22082,31363,28185,5915,1701,0.138281904,0.221276063,0.111677203,0.099375535,0.106235988,0.150886663,0.135597379,0.028456927,0.008183471,ns_sec_2_perc
108,E06000031,181827,19670,35290,20857,19979,17411,27878,30382,8440,1903,0.108179753,0.194085587,0.114707937,0.109879171,0.095755856,0.153321564,0.167092896,0.046417749,0.010465992,ns_sec_2_perc
109,E06000032,201549,17146,35801,20340,29558,20062,29406,29711,11818,7670,0.085071124,0.177629261,0.100918387,0.146654164,0.09953907,0.145900004,0.147413284,0.058635865,0.038055262,ns_sec_2_perc
110,E06000033,171489,22228,41422,22079,23933,14180,21414,17862,6783,1584,0.129617643,0.241543189,0.128748783,0.139559972,0.082687519,0.124870983,0.104158284,0.039553557,0.009236744,ns_sec_2_perc
111,E06000034,157072,14385,32811,18635,19888,17596,21371,24307,6691,1385,0.091582204,0.208891464,0.118639859,0.126617093,0.112025059,0.136058623,0.154750688,0.042598299,0.008817612,ns_sec_2_perc
112,E06000035,259988,26592,56345,31218,33137,26892,35256,36335,9920,4279,0.102281644,0.216721541,0.120074773,0.127455883,0.103435543,0.135606259,0.13975645,0.038155607,0.016458452,ns_sec_2_perc
113,E06000036,110512,21106,31181,12812,12775,9075,11419,9140,2156,846,0.190983785,0.282150355,0.115933111,0.115598306,0.082117779,0.103328145,0.08270595,0.019509194,0.007655277,ns_sec_2_perc
114,E06000037,150878,32405,40625,15274,19544,11564,14968,13106,2587,792,0.214776177,0.269257281,0.10123411,0.129535121,0.076644706,0.099205981,0.086864884,0.017146304,0.005249274,ns_sec_2_perc
115,E06000038,151330,27469,34772,15510,15497,11151,18876,15804,5817,6419,0.181517214,0.229775986,0.102491244,0.102405339,0.073686645,0.124734025,0.104434018,0.038439173,0.042417234,ns_sec_2_perc
116,E06000039,139697,14430,26539,15461,18866,13523,22108,18854,7510,2377,0.103294988,0.189975447,0.110675247,0.135049428,0.096802365,0.158256799,0.134963528,0.053759207,0.017015398,ns_sec_2_perc
117,E06000040,141065,33595,41749,13856,18736,9592,11231,8876,2631,795,0.238152625,0.295955765,0.098224223,0.132818204,0.067997023,0.07961578,0.062921348,0.018650977,0.0056357,ns_sec_2_perc
118,E06000041,151740,42089,46634,15318,18014,8650,10674,7442,1965,948,0.277375774,0.307328325,0.100948992,0.118716225,0.057005404,0.070344009,0.049044418,0.012949783,0.006247529,ns_sec_2_perc
119,E06000042,246715,39551,59715,29641,26814,20785,29460,29613,8123,2988,0.16031048,0.242040411,0.120142675,0.108684109,0.084247006,0.119409035,0.120029183,0.03292463,0.01211114,ns_sec_2_perc
120,E06000043,266059,41050,72759,28187,37609,15893,26712,19189,8243,16395,0.154289086,0.273469418,0.105942667,0.141355865,0.059734871,0.100398784,0.072123101,0.03098185,0.06162167,ns_sec_2_perc
121,E06000044,200052,22711,41415,21803,22461,17782,25754,25721,7939,14459,0.113525483,0.207021174,0.108986663,0.112275808,0.088886889,0.128736529,0.128571571,0.039684682,0.072276208,ns_sec_2_perc
122,E06000045,228459,24691,42941,22771,24844,20593,32955,33632,9292,16717,0.108076285,0.187959327,0.099672151,0.108745989,0.090138712,0.144249078,0.14721241,0.040672506,0.073172867,ns_sec_2_perc
123,E06000046,133713,14357,30180,14055,22147,12723,19786,15573,4063,826,0.107371759,0.225707298,0.10511319,0.165630866,0.095151556,0.147973645,0.116465863,0.030385976,0.00617741,ns_sec_2_perc
124,E06000047,500288,48344,98915,51521,48072,52652,79632,88611,22578,9951,0.09663234,0.197716116,0.102982682,0.096088653,0.10524338,0.159172317,0.177119979,0.045130005,0.019890543,ns_sec_2_perc
125,E06000048,310591,38803,70500,32699,38978,30874,43477,42496,11133,1622,0.124932789,0.226986616,0.105279934,0.125496231,0.099404039,0.139981519,0.136823024,0.035844567,0.005222302,ns_sec_2_perc
126,E06000049,365065,69451,92838,34566,47963,31854,40589,36645,8255,2891,0.190242833,0.254305398,0.094684508,0.131382083,0.087255694,0.11118294,0.100379384,0.022612411,0.007919138,ns_sec_2_perc
127,E06000050,326236,53161,78042,31030,36716,34459,41109,37103,9237,5375,0.162952586,0.239219461,0.095115193,0.112544293,0.105625989,0.126010005,0.113730551,0.028313859,0.016475803,ns_sec_2_perc
128,E06000051,298183,41103,70503,26832,52005,26761,38395,33663,7201,1697,0.13784488,0.236442051,0.089985009,0.174406321,0.0897469,0.128763209,0.11289376,0.024149599,0.005691136,ns_sec_2_perc
129,E06000054,457954,80925,119317,45775,61950,39661,51856,47181,8711,2571,0.176709888,0.260543635,0.099955454,0.135275595,0.086604768,0.11323408,0.103025631,0.019021561,0.005614101,ns_sec_2_perc
130,E06000055,154536,23249,35721,16589,19337,13235,19351,18881,5232,2940,0.15044391,0.231150023,0.107347155,0.12512942,0.085643475,0.125220013,0.122178651,0.033856189,0.019024693,ns_sec_2_perc
131,E06000056,252120,41616,66160,27417,35358,22727,25670,25521,5515,2133,0.165064255,0.262414723,0.108745835,0.140242742,0.090143582,0.101816595,0.101225607,0.021874504,0.008460257,ns_sec_2_perc
132,E07000004,170651,32127,47371,17687,25129,12896,15952,15356,2912,1211,0.188261422,0.277589935,0.10364428,0.147253752,0.075569437,0.093477331,0.089984823,0.017064066,0.007096355,ns_sec_2_perc
133,E07000005,91871,23786,28559,8115,13922,4609,6348,4778,1300,448,0.25890651,0.310859793,0.088330376,0.15153857,0.050168171,0.069096886,0.052007706,0.014150276,0.004876403,ns_sec_2_perc
134,E07000006,65819,15730,19269,6364,10524,4167,4494,3759,1057,455,0.238988742,0.29275741,0.096689406,0.15989304,0.063309986,0.068278157,0.057111169,0.016059193,0.006912897,ns_sec_2_perc
135,E07000007,168958,33922,44947,15907,24913,11708,16858,14035,4054,2608,0.200771789,0.266024693,0.094147658,0.147450846,0.069295328,0.099776276,0.083067981,0.023994129,0.015435789,ns_sec_2_perc
136,E07000008,107345,29769,24213,8578,9259,6841,10313,9086,2662,6603,0.277320788,0.225562439,0.079910569,0.0862546,0.063729098,0.096073408,0.084642974,0.024798547,0.061511947,ns_sec_1_perc
137,E07000009,83056,14587,20620,7415,12407,7655,9551,8881,1586,353,0.175628492,0.24826623,0.089277114,0.14938114,0.092166731,0.114994702,0.106927856,0.01909555,0.004250144,ns_sec_2_perc
138,E07000010,93934,7302,17075,9059,13667,10816,16392,15736,3449,420,0.077735431,0.181776567,0.096440054,0.145495774,0.115144676,0.174505504,0.167521877,0.03671727,0.004471224,ns_sec_2_perc
139,E07000011,166952,29657,43443,17940,20087,15217,18701,17556,3420,931,0.177637884,0.260212516,0.107456035,0.120316019,0.091145958,0.112014232,0.105155973,0.02048493,0.005576453,ns_sec_2_perc
140,E07000012,146779,38441,39747,13303,18629,10638,12210,10913,1909,985,0.261897138,0.270794868,0.090632856,0.126918701,0.072476308,0.083186287,0.074349873,0.013005948,0.006710769,ns_sec_2_perc
141,E07000026,94970,10153,18851,7083,13795,11515,14724,15137,3181,528,0.106907444,0.198494261,0.074581447,0.145256397,0.121248815,0.155038433,0.159387175,0.033494788,0.00555965,ns_sec_2_perc
142,E07000027,68392,6752,13653,6600,6234,8873,10951,11966,2893,464,0.098724997,0.199628612,0.096502515,0.091151012,0.129737396,0.160121067,0.174961984,0.042300269,0.006784419,ns_sec_2_perc
143,E07000028,106138,10512,21069,10240,13380,11750,17703,16510,3169,1803,0.099040871,0.198505719,0.09647817,0.126062296,0.110704931,0.166792289,0.155552206,0.029857356,0.016987318,ns_sec_2_perc
144,E07000029,69312,8474,13796,5475,6734,10332,10661,10947,2575,314,0.122258772,0.199042013,0.078990651,0.097154894,0.149065097,0.15381175,0.157938019,0.037150854,0.00453024,ns_sec_2_perc
145,E07000030,51613,5938,11022,3835,11930,4919,6209,6525,849,378,0.115048534,0.21355085,0.074302986,0.231143317,0.095305446,0.120299149,0.126421638,0.016449344,0.007323736,ns_sec_4_perc
146,E07000031,100514,14924,24902,8274,18816,9664,11886,10104,1453,487,0.148476829,0.247746583,0.082316891,0.187197803,0.096145811,0.118252184,0.10052331,0.014455698,0.004845096,ns_sec_2_perc
147,E07000032,121167,15815,25740,10222,15069,13714,16665,19820,3530,586,0.130522337,0.212434079,0.084362904,0.124365545,0.113182632,0.137537448,0.163575891,0.029133345,0.0048363,ns_sec_2_perc
