Date,England,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
1/7/2020,4686000,190800,592300,411000,377100,487000,504600,905100,762100,456100,247300,489900,139100
2/7/2020,4687000,190800,592400,411000,377100,487100,504600,905800,762100,456100,247300,489800,139100
3/7/2020,4681400,190700,591700,410600,376500,486500,504000,905000,761100,455300,247200,489600,139000
4/7/2020,4666000,189700,589500,409100,375000,484900,502500,903600,758300,453400,246900,488700,138600
5/7/2020,4657300,188900,588400,408100,374800,483800,501700,902600,756900,452100,246800,488200,138400
6/7/2020,4646100,187600,586500,406500,373200,483100,500000,903700,754900,450600,246800,485700,137500
7/7/2020,4637700,187400,585500,405600,372300,482200,499200,902200,753400,449900,246400,484700,137300
8/7/2020,4616700,186000,581900,403500,370600,480200,497100,899800,750200,447400,246100,483900,136700
9/7/2020,4610600,185700,581000,403000,370100,479500,496600,898900,749200,446700,245800,483100,136300
10/7/2020,4604800,185500,580100,402500,369600,479200,495400,898400,748300,445800,245600,482500,136000
11/7/2020,4591100,184700,577900,400800,368100,477700,494100,897500,745900,444400,244300,480100,135500
12/7/2020,4582200,184100,576600,399900,367500,477300,493600,895100,744700,443500,244000,477700,135200
13/7/2020,4546200,182200,570800,396000,364500,473600,489600,889900,739000,440500,242000,471100,133800
14/7/2020,4538300,181800,569900,395200,363700,472800,488800,888500,737800,439800,241400,469900,133500
15/7/2020,4531200,181500,568300,394400,363100,472200,488000,887900,736700,439200,240800,466400,133100
16/7/2020,4520800,180800,566700,393300,362400,470900,487000,886900,734700,438200,240500,464100,132500
17/7/2020,4514600,180300,566200,392600,361800,470600,486000,885800,733800,437600,240200,463500,132300
18/7/2020,4496000,178800,563900,390600,359700,468400,484400,883200,731100,435900,239100,460000,131400
19/7/2020,4483800,178000,562100,389300,358500,466300,483100,882800,729300,434500,238400,457900,131100
20/7/2020,4449700,176000,558900,385400,355300,462900,479500,876500,724200,431000,238000,452000,129400
21/7/2020,4435300,175400,557100,384100,354100,461800,477800,874000,721700,429400,237300,449900,128900
22/7/2020,4427200,175200,556100,383200,353400,461000,477000,872600,720500,428300,236700,448700,128700
23/7/2020,4419600,174800,554900,382600,352800,460300,476300,871300,719100,427500,236400,447400,128100
24/7/2020,4406400,174300,553300,381100,351800,459100,475000,868900,716700,426300,235600,444700,127900
25/7/2020,4383300,173300,549900,378800,349400,456700,472200,866100,713300,423700,234100,440300,126500
26/7/2020,4357200,171900,545700,376300,347400,453700,469800,862500,709600,420400,232600,437200,125800
27/7/2020,4306400,169300,538600,371400,342700,449400,464000,853000,702300,415600,230000,430300,123400
28/7/2020,4294200,168800,537000,370300,341200,448100,462600,851400,700500,414200,229000,428600,122900
29/7/2020,4278400,168100,534800,368700,339700,446200,461000,849500,697700,412400,228200,426200,122200
30/7/2020,4269100,167700,533200,367700,339100,445500,460200,848500,696100,411100,227500,424900,121500
31/7/2020,4234200,166100,528000,364600,336100,442200,456300,841900,691100,407800,224700,421200,119400
1/8/2020,3409400,131100,425000,289000,268700,355000,365500,709600,552800,312800,178400,326800,96100
2/8/2020,3408700,131000,425000,288900,268600,354900,365500,709900,552400,312500,178400,327300,96000
3/8/2020,3405800,130700,424800,288500,268700,355300,364600,709000,551800,312200,176900,326000,95600
4/8/2020,3400800,130500,424100,288100,268400,354800,363800,708200,551100,311800,176600,325100,95600
5/8/2020,3399000,130400,423800,287900,268200,354600,363600,707900,550800,311700,176400,324800,95500
6/8/2020,3397600,130300,423600,287800,268200,354500,363400,707700,550500,311500,176300,324700,95500
7/8/2020,3396300,130300,423600,287600,267800,354500,363300,707300,550300,311500,176200,324800,95400
8/8/2020,3387200,129800,422300,286300,267200,353200,362600,705800,549300,310700,175500,323500,95000
