geo_code,sex,age,White,Mixed,Asian,Black,Other
E06000001,1,0,506,14,10,5,1 
E06000001,1,1,487,13,10,4,1 
E06000001,1,2,544,15,11,5,1 
E06000001,1,3,501,14,10,5,1 
E06000001,1,4,544,15,11,5,1 
E06000001,1,5,562,15,11,5,1 
E06000001,1,6,583,16,12,5,1 
E06000001,1,7,584,16,12,5,1 
E06000001,1,8,568,9,16,4,1 
E06000001,1,9,577,5,21,3,3 
E06000001,1,10,584,17,14,2,0 
E06000001,1,11,560,9,17,0,0 
E06000001,1,12,541,3,17,5,0 
E06000001,1,13,492,8,12,1,2 
E06000001,1,14,504,12,19,3,0 
E06000001,1,15,502,10,10,6,0 
E06000001,1,16,500,8,13,1,0 
E06000001,1,17,583,8,11,2,0 
E06000001,1,18,536,10,7,0,1 
E06000001,1,19,447,5,9,0,0 
E06000001,1,20,461,3,11,0,1 
E06000001,1,21,526,10,8,1,1 
E06000001,1,22,563,3,11,0,1 
E06000001,1,23,596,1,9,0,0 
E06000001,1,24,580,8,9,0,2 
E06000001,1,25,509,4,14,0,1 
E06000001,1,26,628,8,6,0,0 
E06000001,1,27,643,4,4,3,0 
E06000001,1,28,545,1,2,0,0 
E06000001,1,29,590,2,7,0,1 
E06000001,1,30,605,3,8,1,3 
E06000001,1,31,602,4,3,1,4 
E06000001,1,32,552,1,12,1,0 
E06000001,1,33,549,4,10,0,1 
E06000001,1,34,516,2,8,2,1 
E06000001,1,35,503,5,13,1,2 
E06000001,1,36,536,3,6,1,1 
E06000001,1,37,517,2,14,3,2 
E06000001,1,38,504,7,5,0,0 
E06000001,1,39,479,1,13,1,1 
E06000001,1,40,412,1,15,0,2 
E06000001,1,41,420,4,5,6,4 
E06000001,1,42,473,3,13,3,2 
E06000001,1,43,452,2,17,5,2 
E06000001,1,44,467,5,17,2,1 
E06000001,1,45,568,1,19,2,1 
E06000001,1,46,556,1,12,0,0 
E06000001,1,47,631,2,9,2,1 
E06000001,1,48,612,1,21,1,0 
E06000001,1,49,573,1,8,0,0 
E06000001,1,50,576,5,9,2,0 
E06000001,1,51,653,3,15,4,1 
E06000001,1,52,650,0,5,0,0 
E06000001,1,53,741,4,11,1,0 
E06000001,1,54,624,4,9,2,0 
E06000001,1,55,680,1,11,0,0 
E06000001,1,56,657,2,8,0,0 
E06000001,1,57,666,0,7,1,2 
E06000001,1,58,618,4,3,2,1 
E06000001,1,59,642,2,4,0,0 
E06000001,1,60,565,2,5,0,2 
E06000001,1,61,622,1,1,0,1 
E06000001,1,62,551,2,5,1,3 
E06000001,1,63,516,2,6,0,3 
E06000001,1,64,519,1,4,0,3 
E06000001,1,65,484,2,1,0,5 
E06000001,1,66,511,3,3,1,2 
E06000001,1,67,520,4,2,1,1 
E06000001,1,68,509,1,3,0,0 
E06000001,1,69,516,2,1,0,0 
E06000001,1,70,516,3,4,0,1 
E06000001,1,71,575,0,5,0,0 
E06000001,1,72,430,2,1,0,1 
E06000001,1,73,409,0,4,0,0 
E06000001,1,74,372,0,0,0,0 
E06000001,1,75,288,3,1,0,0 
E06000001,1,76,283,2,0,0,0 
E06000001,1,77,248,1,1,0,0 
E06000001,1,78,265,1,0,0,0 
E06000001,1,79,293,1,0,0,0 
E06000001,1,80,225,0,1,0,0 
E06000001,1,81,245,0,1,0,0 
E06000001,1,82,220,1,0,0,0 
