geo_code,region,country
W06000016,Wales,Wales
S12000013,Scotland,Scotland
W06000013,Wales,Wales
E07000138,East Midlands,England
E07000166,Yorkshire and The Humber,England
E07000105,South East,England
95JJ,Northern Ireland,Northern Ireland
W06000022,Wales,Wales
E08000034,Yorkshire and The Humber,England
E07000126,North West,England
S12000006,Scotland,Scotland
E09000023,London,England
E06000018,East Midlands,England
E09000028,London,England
E07000133,East Midlands,England
E07000219,West Midlands,England
95DD,Northern Ireland,Northern Ireland
E07000097,East,England
E06000039,South East,England
E07000199,West Midlands,England
E07000173,East Midlands,England
E07000082,South West,England
E06000034,East,England
W06000019,Wales,Wales
E09000025,London,England
S12000046,Scotland,Scotland
E06000027,South West,England
E09000024,London,England
E07000030,North West,England
E06000017,East Midlands,England
E07000209,South East,England
E07000188,South West,England
E06000035,South East,England
E09000029,London,England
E07000148,East,England
S12000038,Scotland,Scotland
E06000006,North West,England
E07000177,South East,England
E07000081,South West,England
E09000019,London,England
E07000119,North West,England
95FF,Northern Ireland,Northern Ireland
E07000226,South East,England
E06000013,Yorkshire and The Humber,England
E07000108,South East,England
E06000014,Yorkshire and The Humber,England
95HH,Northern Ireland,Northern Ireland
E06000016,East Midlands,England
E07000062,South East,England
E07000010,East,England
E08000020,North East,England
E41000052,South West,England
W06000015,Wales,Wales
E07000026,North West,England
E08000024,North East,England
E07000050,South West,England
E07000218,West Midlands,England
E07000099,East,England
E07000103,East,England
E08000017,Yorkshire and The Humber,England
S12000045,Scotland,Scotland
E07000120,North West,England
E06000054,South West,England
E07000234,West Midlands,England
E07000101,East,England
W06000006,Wales,Wales
E07000072,East,England
S12000040,Scotland,Scotland
E09000011,London,England
E07000048,South West,England
E07000220,West Midlands,England
E07000141,East Midlands,England
E07000216,South East,England
W06000023,Wales,Wales
S12000019,Scotland,Scotland
E08000022,North East,England
E07000221,West Midlands,England
E06000030,South West,England
E06000055,East,England
E08000018,Yorkshire and The Humber,England
S12000015,Scotland,Scotland
E06000001,North East,England
E07000132,East Midlands,England
E07000121,North West,England
E06000024,South West,England
E07000190,South West,England
E07000189,South West,England
E07000075,East,England
E06000045,South East,England
W06000010,Wales,Wales
E07000052,South West,England
E09000006,London,England
95XX,Northern Ireland,Northern Ireland
E06000020,West Midlands,England
E07000196,West Midlands,England
E07000115,South East,England
95MM,Northern Ireland,Northern Ireland
