geo_code,LAD11NM,RUC11CD,RUC11,Rural population1,Hub towns (rural related) population1,Rural including hub towns (rural & rural related) population1, Total population1,Rural including hub towns (rural & rural related) population1 
E06000001,Hartlepool,4,Urban with City and Town,3173.00,0.00,3173.00,92028.00,3.4
E06000002,Middlesbrough,4,Urban with City and Town,957.00,0.00,957.00,138412.00,0.7
E06000003,Redcar and Cleveland,3,Urban with Significant Rural (rural including hub towns 26-49%),43880.00,0.00,43880.00,135177.00,32.5
E06000004,Stockton-on-Tees,4,Urban with City and Town,7536.00,0.00,7536.00,191610.00,3.9
E06000005,Darlington,4,Urban with City and Town,13201.00,0.00,13201.00,105564.00,12.5
E06000006,Halton,4,Urban with City and Town,3148.00,0.00,3148.00,125746.00,2.5
E06000007,Warrington,4,Urban with City and Town,25164.00,0.00,25164.00,202228.00,12.4
E06000008,Blackburn with Darwen,4,Urban with City and Town,6931.00,0.00,6931.00,147489.00,4.7
E06000009,Blackpool,4,Urban with City and Town,555.00,0.00,555.00,142065.00,0.4
E06000010,"Kingston upon Hull, City of",4,Urban with City and Town,0.00,0.00,0.00,256406.00,0
E06000011,East Riding of Yorkshire,2,Largely Rural (rural including hub towns 50-79%) ,146674.00,53794.00,200468.00,334179.00,60
E06000012,North East Lincolnshire,4,Urban with City and Town,15814.00,9642.00,25456.00,159616.00,15.9
E06000013,North Lincolnshire,3,Urban with Significant Rural (rural including hub towns 26-49%),75295.00,1108.00,76403.00,167446.00,45.6
E06000014,York,4,Urban with City and Town,32440.00,0.00,32440.00,198051.00,16.4
E06000015,Derby,4,Urban with City and Town,0.00,0.00,0.00,248752.00,0
E06000016,Leicester,4,Urban with City and Town,556.00,0.00,556.00,329839.00,0.2
E06000017,Rutland,1,Mainly Rural (rural including hub towns >=80%) ,25847.00,11522.00,37369.00,37369.00,100
E06000018,Nottingham,5,Urban with Minor Conurbation,0.00,0.00,0.00,305680.00,0
E06000019,"Herefordshire, County of",2,Largely Rural (rural including hub towns 50-79%) ,99142.00,21520.00,120662.00,183477.00,65.8
E06000020,Telford and Wrekin,4,Urban with City and Town,11177.00,12741.00,23918.00,166641.00,14.4
E06000021,Stoke-on-Trent,4,Urban with City and Town,671.00,0.00,671.00,249008.00,0.3
E06000022,Bath and North East Somerset,3,Urban with Significant Rural (rural including hub towns 26-49%),37103.00,27136.00,64239.00,176016.00,36.5
E06000023,"Bristol, City of",4,Urban with City and Town,0.00,0.00,0.00,428234.00,0
E06000024,North Somerset,3,Urban with Significant Rural (rural including hub towns 26-49%),37238.00,41545.00,78783.00,202566.00,38.9
E06000025,South Gloucestershire,4,Urban with City and Town,34363.00,11687.00,46050.00,262767.00,17.5
E06000026,Plymouth,4,Urban with City and Town,0.00,0.00,0.00,256384.00,0
E06000027,Torbay,4,Urban with City and Town,762.00,16693.00,17455.00,130959.00,13.3
E06000028,Bournemouth,4,Urban with City and Town,139.00,0.00,139.00,183491.00,0.1
E06000029,Poole,4,Urban with City and Town,236.00,0.00,236.00,147645.00,0.2
E06000030,Swindon,4,Urban with City and Town,23848.00,0.00,23848.00,209156.00,11.4
E06000031,Peterborough,4,Urban with City and Town,21752.00,806.00,22558.00,183631.00,12.3
E06000032,Luton,4,Urban with City and Town,0.00,0.00,0.00,203201.00,0
E06000033,Southend-on-Sea,4,Urban with City and Town,0.00,0.00,0.00,173658.00,0
E06000034,Thurrock,6,Urban with Major Conurbation,19765.00,0.00,19765.00,157705.00,12.5
E06000035,Medway,4,Urban with City and Town,28457.00,0.00,28457.00,263925.00,10.8
E06000036,Bracknell Forest,4,Urban with City and Town,2309.00,0.00,2309.00,113205.00,2
E06000037,West Berkshire,3,Urban with Significant Rural (rural including hub towns 26-49%),56949.00,403.00,57352.00,153822.00,37.3
E06000038,Reading,4,Urban with City and Town,468.00,0.00,468.00,155698.00,0.3
E06000039,Slough,4,Urban with City and Town,0.00,0.00,0.00,140205.00,0
E06000040,Windsor and Maidenhead,4,Urban with City and Town,14961.00,182.00,15143.00,144560.00,10.5
E06000041,Wokingham,4,Urban with City and Town,27045.00,0.00,27045.00,154380.00,17.5
E06000042,Milton Keynes,4,Urban with City and Town,21653.00,0.00,21653.00,248821.00,8.7
E06000043,Brighton and Hove,4,Urban with City and Town,4318.00,0.00,4318.00,273369.00,1.6
E06000044,Portsmouth,4,Urban with City and Town,0.00,0.00,0.00,205056.00,0
E06000045,Southampton,4,Urban with City and Town,0.00,0.00,0.00,236882.00,0
E06000046,Isle of Wight,1,Mainly Rural (rural including hub towns >=80%) ,44699.00,93566.00,138265.00,138265.00,100
E06000047,County Durham,2,Largely Rural (rural including hub towns 50-79%) ,231417.00,81151.00,312568.00,513242.00,60.9
E06000048,Northumberland,2,Largely Rural (rural including hub towns 50-79%) ,145096.00,78801.00,223897.00,316028.00,70.8
E06000049,Cheshire East,3,Urban with Significant Rural (rural including hub towns 26-49%),70607.00,74571.00,145178.00,370127.00,39.2
E06000050,Cheshire West and Chester,3,Urban with Significant Rural (rural including hub towns 26-49%),86301.00,0.00,86301.00,329608.00,26.2
E06000051,Shropshire,2,Largely Rural (rural including hub towns 50-79%) ,175469.00,53688.00,229157.00,306129.00,74.9
E41000052,Cornwall,1,Mainly Rural (rural including hub towns >=80%) ,326682.00,115347.00,442029.00,532273.00,83
E41000052,Isles of Scilly,1,Mainly Rural (rural including hub towns >=80%) ,2203.00,0.00,2203.00,2203.00,100
E06000054,Wiltshire,2,Largely Rural (rural including hub towns 50-79%) ,223719.00,93566.00,317285.00,470981.00,67.4
E06000055,Bedford,3,Urban with Significant Rural (rural including hub towns 26-49%),49104.00,0.00,49104.00,157479.00,31.2
E06000056,Central Bedfordshire,2,Largely Rural (rural including hub towns 50-79%) ,100272.00,48234.00,148506.00,254381.00,58.4
E07000004,Aylesbury Vale,2,Largely Rural (rural including hub towns 50-79%) ,86499.00,12890.00,99389.00,174137.00,57.1
E07000005,Chiltern,3,Urban with Significant Rural (rural including hub towns 26-49%),26030.00,0.00,26030.00,92635.00,28.1
E07000006,South Bucks,3,Urban with Significant Rural (rural including hub towns 26-49%),21212.00,0.00,21212.00,66867.00,31.7
E07000007,Wycombe,3,Urban with Significant Rural (rural including hub towns 26-49%),31999.00,18079.00,50078.00,171644.00,29.2
E07000008,Cambridge,4,Urban with City and Town,359.00,0.00,359.00,123867.00,0.3
E07000009,East Cambridgeshire,1,Mainly Rural (rural including hub towns >=80%) ,62586.00,21232.00,83818.00,83818.00,100
E07000010,Fenland,2,Largely Rural (rural including hub towns 50-79%) ,22365.00,44094.00,66459.00,95262.00,69.8
E07000011,Huntingdonshire,1,Mainly Rural (rural including hub towns >=80%) ,93494.00,43456.00,136950.00,169508.00,80.8
E07000012,South Cambridgeshire,2,Largely Rural (rural including hub towns 50-79%) ,113829.00,0.00,113829.00,148755.00,76.5
E07000026,Allerdale,1,Mainly Rural (rural including hub towns >=80%) ,69302.00,27120.00,96422.00,96422.00,100
E07000027,Barrow-in-Furness,3,Urban with Significant Rural (rural including hub towns 26-49%),23222.00,0.00,23222.00,69087.00,33.6
E07000028,Carlisle,3,Urban with Significant Rural (rural including hub towns 26-49%),29054.00,0.00,29054.00,107524.00,27
E07000029,Copeland,1,Mainly Rural (rural including hub towns >=80%) ,45703.00,24900.00,70603.00,70603.00,100
