geo_code,age_group,population
E92000001,0-4,3346727.00
E92000001,5-9,3523866.00
E92000001,10-14,3274119.00
E92000001,15-19,3096575.00
E92000001,20-24,3512654.00
E92000001,25-29,3815924.00
E92000001,30-34,3787597.00
E92000001,35-39,3717483.00
E92000001,40-44,3390584.00
E92000001,45-49,3799242.00
E92000001,50-54,3915451.00
E92000001,55-59,3573329.00
E92000001,60-64,3044374.00
E92000001,65-69,2822593.00
E92000001,70-74,2724800.00
E92000001,75-79,1863126.00
E92000001,80-84,1403756.00
E92000001,85-89,865702.00
E92000001,90+,499276.00
E92000001,All ages,55977178.00
E12000001,0-4,144069.00
E12000001,5-9,156310.00
E12000001,10-14,147363.00
E12000001,15-19,146117.00
E12000001,20-24,179407.00
E12000001,25-29,178995.00
E12000001,30-34,166461.00
E12000001,35-39,159449.00
E12000001,40-44,143074.00
E12000001,45-49,173746.00
E12000001,50-54,190132.00
E12000001,55-59,185823.00
E12000001,60-64,164591.00
E12000001,65-69,150370.00
E12000001,70-74,140361.00
E12000001,75-79,94453.00
E12000001,80-84,72796.00
E12000001,85-89,42503.00
E12000001,90+,21889.00
E12000001,All ages,2657909.00
E06000047,0-4,27021.00
E06000047,5-9,29989.00
E06000047,10-14,28558.00
E06000047,15-19,29134.00
E06000047,20-24,35874.00
E06000047,25-29,33461.00
E06000047,30-34,30124.00
E06000047,35-39,30570.00
E06000047,40-44,27667.00
E06000047,45-49,35419.00
E06000047,50-54,39721.00
E06000047,55-59,37361.00
E06000047,60-64,33491.00
E06000047,65-69,31637.00
E06000047,70-74,30125.00
E06000047,75-79,19870.00
E06000047,80-84,14647.00
E06000047,85-89,8173.00
E06000047,90+,4138.00
E06000047,All ages,526980.00
E06000005,0-4,5917.00
E06000005,5-9,6650.00
E06000005,10-14,6410.00
E06000005,15-19,5656.00
E06000005,20-24,5429.00
E06000005,25-29,6267.00
E06000005,30-34,6605.00
E06000005,35-39,6637.00
E06000005,40-44,6302.00
E06000005,45-49,7395.00
E06000005,50-54,7854.00
E06000005,55-59,7485.00
E06000005,60-64,6371.00
E06000005,65-69,5960.00
E06000005,70-74,5740.00
E06000005,75-79,3937.00
E06000005,80-84,3095.00
E06000005,85-89,1798.00
E06000005,90+,1058.00
E06000005,All ages,106566.00
E06000001,0-4,5297.00
E06000001,5-9,5957.00
E06000001,10-14,5600.00
E06000001,15-19,5192.00
E06000001,20-24,5422.00
E06000001,25-29,5990.00
E06000001,30-34,6033.00
E06000001,35-39,5423.00
E06000001,40-44,4888.00
E06000001,45-49,6172.00
E06000001,50-54,6900.00
E06000001,55-59,6775.00
E06000001,60-64,5634.00
E06000001,65-69,5296.00
E06000001,70-74,4637.00
E06000001,75-79,3082.00
E06000001,80-84,2628.00
E06000001,85-89,1529.00
E06000001,90+,787.00
E06000001,All ages,93242.00
E06000002,0-4,9657.00
E06000002,5-9,9606.00
E06000002,10-14,8579.00
E06000002,15-19,8353.00
E06000002,20-24,11650.00
E06000002,25-29,10998.00
E06000002,30-34,9376.00
E06000002,35-39,8110.00
E06000002,40-44,7316.00
E06000002,45-49,8205.00
E06000002,50-54,9021.00
E06000002,55-59,8976.00
E06000002,60-64,7931.00
E06000002,65-69,6590.00
E06000002,70-74,5857.00
E06000002,75-79,4158.00
E06000002,80-84,3335.00
E06000002,85-89,1941.00
E06000002,90+,886.00
E06000002,All ages,140545.00
E06000057,0-4,14910.00
E06000057,5-9,16975.00
E06000057,10-14,17198.00
E06000057,15-19,15922.00
E06000057,20-24,14432.00
E06000057,25-29,16516.00
E06000057,30-34,17003.00
E06000057,35-39,17703.00
E06000057,40-44,17022.00
E06000057,45-49,21377.00
E06000057,50-54,24602.00
E06000057,55-59,25453.00
E06000057,60-64,23436.00
E06000057,65-69,22593.00
E06000057,70-74,21537.00
E06000057,75-79,14037.00
E06000057,80-84,10220.00
E06000057,85-89,5991.00
E06000057,90+,3347.00
E06000057,All ages,320274.00
E06000003,0-4,7348.00
E06000003,5-9,8259.00
E06000003,10-14,7768.00
E06000003,15-19,7108.00
E06000003,20-24,7351.00
E06000003,25-29,8244.00
E06000003,30-34,8067.00
E06000003,35-39,7383.00
E06000003,40-44,6838.00
E06000003,45-49,8882.00
E06000003,50-54,10166.00
E06000003,55-59,10065.00
E06000003,60-64,8804.00
E06000003,65-69,8342.00
E06000003,70-74,8333.00
E06000003,75-79,5848.00
E06000003,80-84,4228.00
E06000003,85-89,2389.00
E06000003,90+,1295.00
E06000003,All ages,136718.00
E06000004,0-4,11648.00
E06000004,5-9,13134.00
E06000004,10-14,12213.00
E06000004,15-19,10815.00
E06000004,20-24,10898.00
E06000004,25-29,12999.00
E06000004,30-34,13345.00
E06000004,35-39,12602.00
E06000004,40-44,11122.00
E06000004,45-49,13223.00
E06000004,50-54,14106.00
E06000004,55-59,13658.00
E06000004,60-64,11778.00
E06000004,65-69,10463.00
E06000004,70-74,9456.00
E06000004,75-79,6413.00
E06000004,80-84,4882.00
E06000004,85-89,2991.00
E06000004,90+,1467.00
E06000004,All ages,197213.00
E11000007,0-4,62271.00
E11000007,5-9,65740.00
E11000007,10-14,61037.00
E11000007,15-19,63937.00
E11000007,20-24,88351.00
E11000007,25-29,84520.00
E11000007,30-34,75908.00
E11000007,35-39,71021.00
E11000007,40-44,61919.00
E11000007,45-49,73073.00
E11000007,50-54,77762.00
E11000007,55-59,76050.00
E11000007,60-64,67146.00
E11000007,65-69,59489.00
E11000007,70-74,54676.00
E11000007,75-79,37108.00
E11000007,80-84,29761.00
E11000007,85-89,17691.00
E11000007,90+,8911.00
E11000007,All ages,1136371.00
E08000037,0-4,10857.00
E08000037,5-9,11626.00
E08000037,10-14,10734.00
E08000037,15-19,11205.00
E08000037,20-24,12525.00
E08000037,25-29,13301.00
E08000037,30-34,14373.00
E08000037,35-39,13463.00
E08000037,40-44,11590.00
E08000037,45-49,13431.00
E08000037,50-54,14308.00
E08000037,55-59,13940.00
E08000037,60-64,11898.00
E08000037,65-69,10634.00
E08000037,70-74,10343.00
E08000037,75-79,7331.00
E08000037,80-84,5864.00
E08000037,85-89,3415.00
E08000037,90+,1670.00
E08000037,All ages,202508.00
E08000021,0-4,16630.00
E08000021,5-9,17441.00
E08000021,10-14,15246.00
E08000021,15-19,20588.00
E08000021,20-24,39899.00
E08000021,25-29,29655.00
E08000021,30-34,20716.00
E08000021,35-39,17900.00
E08000021,40-44,14978.00
E08000021,45-49,16361.00
E08000021,50-54,16756.00
E08000021,55-59,16448.00
E08000021,60-64,14351.00
E08000021,65-69,12268.00
E08000021,70-74,11004.00
E08000021,75-79,7514.00
E08000021,80-84,6289.00
E08000021,85-89,3906.00
E08000021,90+,2246.00
E08000021,All ages,300196.00
E08000022,0-4,11471.00
E08000022,5-9,11968.00
E08000022,10-14,11601.00
E08000022,15-19,10112.00
E08000022,20-24,9880.00
E08000022,25-29,11822.00
E08000022,30-34,13463.00
E08000022,35-39,14308.00
E08000022,40-44,12607.00
E08000022,45-49,14631.00
E08000022,50-54,15283.00
E08000022,55-59,14571.00
E08000022,60-64,13103.00
E08000022,65-69,11857.00
E08000022,70-74,11178.00
E08000022,75-79,7078.00
E08000022,80-84,5677.00
E08000022,85-89,3527.00
E08000022,90+,1848.00
E08000022,All ages,205985.00
E08000023,0-4,8359.00
E08000023,5-9,8703.00
E08000023,10-14,8272.00
E08000023,15-19,7654.00
E08000023,20-24,8388.00
E08000023,25-29,9578.00
E08000023,30-34,9752.00
E08000023,35-39,9055.00
E08000023,40-44,7957.00
E08000023,45-49,9926.00
E08000023,50-54,11365.00
E08000023,55-59,11302.00
E08000023,60-64,9919.00
E08000023,65-69,8734.00
E08000023,70-74,7823.00
E08000023,75-79,5357.00
E08000023,80-84,4260.00
E08000023,85-89,2523.00
E08000023,90+,1338.00
E08000023,All ages,150265.00
E08000024,0-4,14954.00
E08000024,5-9,16002.00
E08000024,10-14,15184.00
E08000024,15-19,14378.00
E08000024,20-24,17659.00
E08000024,25-29,20164.00
E08000024,30-34,17604.00
E08000024,35-39,16295.00
E08000024,40-44,14787.00
E08000024,45-49,18724.00
E08000024,50-54,20050.00
E08000024,55-59,19789.00
E08000024,60-64,17875.00
E08000024,65-69,15996.00
E08000024,70-74,14328.00
E08000024,75-79,9828.00
E08000024,80-84,7671.00
E08000024,85-89,4320.00
E08000024,90+,1809.00
E08000024,All ages,277417.00
E12000002,0-4,434771.00
E12000002,5-9,454136.00
E12000002,10-14,427466.00
E12000002,15-19,407334.00
E12000002,20-24,465468.00
E12000002,25-29,499669.00
E12000002,30-34,475785.00
E12000002,35-39,456491.00
E12000002,40-44,414601.00
E12000002,45-49,493194.00
E12000002,50-54,516153.00
E12000002,55-59,481784.00
E12000002,60-64,410616.00
E12000002,65-69,382358.00
E12000002,70-74,364504.00
E12000002,75-79,252081.00
E12000002,80-84,185489.00
E12000002,85-89,109415.00
E12000002,90+,60778.00
E12000002,All ages,7292093.00
E06000008,0-4,10576.00
E06000008,5-9,11152.00
E06000008,10-14,10687.00
E06000008,15-19,9833.00
E06000008,20-24,9249.00
E06000008,25-29,9720.00
E06000008,30-34,10312.00
E06000008,35-39,10457.00
E06000008,40-44,9173.00
E06000008,45-49,10089.00
E06000008,50-54,9798.00
E06000008,55-59,8939.00
E06000008,60-64,7414.00
E06000008,65-69,6649.00
E06000008,70-74,5800.00
E06000008,75-79,3892.00
E06000008,80-84,2830.00
E06000008,85-89,1596.00
E06000008,90+,776.00
E06000008,All ages,148942.00
E06000009,0-4,8365.00
E06000009,5-9,8378.00
E06000009,10-14,7763.00
E06000009,15-19,7354.00
E06000009,20-24,7948.00
E06000009,25-29,8903.00
E06000009,30-34,8334.00
E06000009,35-39,7632.00
E06000009,40-44,7263.00
E06000009,45-49,9783.00
E06000009,50-54,10809.00
E06000009,55-59,9928.00
E06000009,60-64,8443.00
E06000009,65-69,7689.00
E06000009,70-74,7680.00
E06000009,75-79,5438.00
E06000009,80-84,3942.00
E06000009,85-89,2311.00
E06000009,90+,1342.00
E06000009,All ages,139305.00
E06000049,0-4,20262.00
E06000049,5-9,22034.00
E06000049,10-14,22020.00
E06000049,15-19,19413.00
E06000049,20-24,16905.00
E06000049,25-29,19343.00
E06000049,30-34,19748.00
E06000049,35-39,21711.00
E06000049,40-44,22482.00
E06000049,45-49,28294.00
E06000049,50-54,30173.00
E06000049,55-59,28094.00
E06000049,60-64,23623.00
E06000049,65-69,23317.00
E06000049,70-74,23639.00
E06000049,75-79,15995.00
E06000049,80-84,11968.00
E06000049,85-89,7334.00
E06000049,90+,4435.00
E06000049,All ages,380790.00
E06000050,0-4,18571.00
E06000050,5-9,19752.00
E06000050,10-14,19177.00
E06000050,15-19,18014.00
E06000050,20-24,19473.00
E06000050,25-29,19334.00
E06000050,30-34,19094.00
E06000050,35-39,19955.00
E06000050,40-44,19432.00
E06000050,45-49,24115.00
E06000050,50-54,25587.00
E06000050,55-59,24201.00
E06000050,60-64,20852.00
E06000050,65-69,20144.00
E06000050,70-74,19822.00
E06000050,75-79,13571.00
E06000050,80-84,9980.00
E06000050,85-89,5979.00
E06000050,90+,3449.00
E06000050,All ages,340502.00
E06000006,0-4,7676.00
E06000006,5-9,8488.00
E06000006,10-14,8148.00
E06000006,15-19,7075.00
E06000006,20-24,7016.00
E06000006,25-29,7934.00
E06000006,30-34,8387.00
E06000006,35-39,8102.00
E06000006,40-44,7469.00
E06000006,45-49,9046.00
E06000006,50-54,8933.00
E06000006,55-59,8922.00
E06000006,60-64,7980.00
E06000006,65-69,7538.00
E06000006,70-74,6411.00
E06000006,75-79,4025.00
E06000006,80-84,2918.00
E06000006,85-89,1606.00
E06000006,90+,758.00
E06000006,All ages,128432.00
E06000007,0-4,11933.00
E06000007,5-9,13102.00
E06000007,10-14,12351.00
E06000007,15-19,11365.00
E06000007,20-24,10654.00
E06000007,25-29,12838.00
E06000007,30-34,13457.00
E06000007,35-39,13716.00
E06000007,40-44,12962.00
E06000007,45-49,15653.00
